epoch,train_loss,train_dice,train_iou,train_samples,train_seconds,validation_loss,validation_dice,validation_iou,validation_samples,validation_seconds,best_checkpoint
1,0.601927166008106,0.4849425651085521,0.3788196829027759,311,17.94211079995148,0.5838624148657827,0.4031702189734488,0.266092586095887,99,3.6666954999091104,True
2,0.4874197547458759,0.732490117143588,0.6052328608810327,311,9.74735870002769,0.5126136764131412,0.0,0.0,99,1.3799364999867976,False
3,0.41540124744081036,0.00010338883212141669,5.213261980239985e-05,311,9.536045199958608,0.4718497931355178,0.0,0.0,99,1.3093961999984458,False
4,0.3684847783237408,0.13107504655451324,0.10678277640241135,311,9.556476900004782,0.44610201409368805,0.49263406161105994,0.34401800174905794,99,1.3278156000887975,True
5,0.33651839709358583,0.7842903650841913,0.6575509942229538,311,9.626901099923998,0.45217695802149144,0.4816139213966601,0.3364070009703588,99,1.2724709999747574,False
6,0.3121806935098777,0.7908390894580117,0.6666256829473367,311,9.666755399899557,0.458688763355968,0.46996672586961225,0.32608020636770463,99,1.323465900029987,False
7,0.299887091400539,0.7875310707705581,0.6605024583086707,311,9.776094800094143,0.4281372211196206,0.5074199209309588,0.35854893471255445,99,1.2909151000203565,True
8,0.28467614752303366,0.7957707409690047,0.6718838889499186,311,9.621845499961637,0.41858058084141125,0.5085371299223467,0.35884620776080123,99,1.3234119999688119,True
