group,split,number_of_images,baseline_mean_dice,version2_mean_dice,change_in_dice,baseline_mean_iou,version2_mean_iou,change_in_iou
p_003,test,505,0.38477817720054686,0.5268216945701233,0.14204351736957643,0.27454976799063924,0.37955906717775223,0.10500929918711299
p001,test,100,0.30370979446917773,0.3892168479871179,0.08550705351794019,0.19725711874547414,0.27781757806202223,0.0805604593165481
p006,test,361,0.5972076856280958,0.6062656977437075,0.009058012115611747,0.46123523237583564,0.47286195800010206,0.01162672562426642
video_7 (Patient 4),validation,99,0.5312911859064391,0.5085371246542594,-0.022754061252179714,0.38125750475158593,0.3588462049009824,-0.022411299850603528
