epoch,train_loss,train_dice,train_iou,train_samples,train_seconds,validation_loss,validation_dice,validation_iou,validation_samples,validation_seconds,best_checkpoint
1,0.678163858855269,0.5805892204548385,0.439024586865373,311,16.542504400000098,0.6984286826066296,0.4655313082415648,0.3177721979040088,99,3.508191600000032,True
2,0.552400711456679,0.7412926445436631,0.6030618412318337,311,9.860815000000002,0.6419970977185953,0.46455358013962256,0.31882747977670994,99,1.3755138999999872,False
3,0.4294013490247573,0.7711847993721916,0.6405744065809097,311,10.52806099999998,0.6588040114653231,0.3942661095749248,0.2653828440892576,99,1.4140522999999803,False
4,0.3296377935785189,0.7882478658792673,0.6617776983420566,311,9.515200600000071,0.5437478639862754,0.4937187571718235,0.34955091909928754,99,1.495959800000037,True
5,0.27047894161997116,0.7974814977676539,0.6739384855871415,311,9.81571550000001,0.4511629752438478,0.5599377661040335,0.4070626238379816,99,1.4793235999999297,True
6,0.24068749094699357,0.7990324619881977,0.6761625710024328,311,10.769406600000025,0.48770262857880253,0.5185815601637869,0.37042194484460234,99,1.422201800000039,False
7,0.22709661616773083,0.796340624235834,0.6724552682741662,311,10.856685599999992,0.4498297831024786,0.5362633382431184,0.3839175279694374,99,1.3406175000000076,False
8,0.20992635080285393,0.8039677219758846,0.6826212022848834,311,10.238092700000038,0.42569315614122333,0.5592983310872858,0.4072707710844098,99,1.3422656999999845,False
