experiment,subset,images,mean_dice,pooled_foreground_recall,pooled_foreground_precision,false_negative_pixels,false_positive_pixels,zero_overlap_images
Baseline,all test,966,0.4557721878311972,0.45653312361782383,0.5411516939371949,3007462,2142148,78
Baseline,validation,99,0.5312911859064391,0.6515273878655027,0.45261979428396953,190288,430260,0
Baseline,small test openings (area <=2%),52,0.2261536345244027,0.5668250911623715,0.12395950002240043,21145,195541,7
Version 2,all test,966,0.5422655874141847,0.567788116980487,0.5875092953763484,2391794,2206037,21
Version 2,validation,99,0.5085371246542594,0.6925464644189406,0.41741336035337984,167889,527820,0
Version 2,small test openings (area <=2%),52,0.23727168928598985,0.6204162740197484,0.12464758298520363,18529,212680,5
Version 3,all test,966,0.41737062241268075,0.37076293774709307,0.5340571418457143,3482101,1790063,77
Version 3,validation,99,0.5599377668566174,0.7133297806297075,0.4769334561002248,156540,427201,0
Version 3,small test openings (area <=2%),52,0.27133743572407043,0.45712295652886464,0.14704738808674966,26500,129433,8
