experiment,best_epoch,validation_dice,validation_iou,test_dice,test_iou
Baseline,6,0.5312911825950699,0.38125750633201216,0.45577218623636157,0.3363139375493048
Version 2,8,0.5085371299223467,0.35884620776080123,0.5422655862156402,0.40389467158410736
Version 3,5,0.5599377661040335,0.4070626238379816,0.4173706231456694,0.3046898828212552
